MATERIALS: 
	 1     BALSA                          
	 2     BIAXIAL                        
	 3     PAINT                          
	 4     REINFORCEMENT                  
	 5     TRIAXIAL                       
	 6     UNIDIRECTIONAL                 
ELEMENT_1: 
	 Elements ID: 
	 	 1	 	 236	 	 471	 	 706
	 	 2	 	 237	 	 472	 	 707
	 	 3	 	 238	 	 473	 	 708
	 	 4	 	 239	 	 474	 	 709
	 	 5	 	 240	 	 475	 	 710
	 	 6	 	 241	 	 476	 	 711
	 	 7	 	 242	 	 477	 	 712
	 	 8	 	 243	 	 478	 	 713
	 	 9	 	 244	 	 479	 	 714
	 	 10	 	 245	 	 480	 	 715
	 Materials ID: 
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
ELEMENT_2: 
	 Elements ID: 
	 	 11	 	 246	 	 481	 	 716
	 	 12	 	 247	 	 482	 	 717
	 	 13	 	 248	 	 483	 	 718
	 	 14	 	 249	 	 484	 	 719
	 	 15	 	 250	 	 485	 	 720
	 	 16	 	 251	 	 486	 	 721
	 	 17	 	 252	 	 487	 	 722
	 	 18	 	 253	 	 488	 	 723
	 	 19	 	 254	 	 489	 	 724
	 	 20	 	 255	 	 490	 	 725
	 	 21	 	 256	 	 491	 	 726
	 	 22	 	 257	 	 492	 	 727
	 	 23	 	 258	 	 493	 	 728
	 	 24	 	 259	 	 494	 	 729
	 	 25	 	 260	 	 495	 	 730
	 	 26	 	 261	 	 496	 	 731
	 	 27	 	 262	 	 497	 	 732
	 	 28	 	 263	 	 498	 	 733
	 	 29	 	 264	 	 499	 	 734
	 	 30	 	 265	 	 500	 	 735
	 	 31	 	 266	 	 501	 	 736
	 	 32	 	 267	 	 502	 	 737
	 	 33	 	 268	 	 503	 	 738
	 	 34	 	 269	 	 504	 	 739
	 	 35	 	 270	 	 505	 	 740
	 	 36	 	 271	 	 506	 	 741
	 	 37	 	 272	 	 507	 	 742
	 	 38	 	 273	 	 508	 	 743
	 	 39	 	 274	 	 509	 	 744
	 	 40	 	 275	 	 510	 	 745
	 	 41	 	 276	 	 511	 	 746
	 	 42	 	 277	 	 512	 	 747
	 	 43	 	 278	 	 513	 	 748
	 	 44	 	 279	 	 514	 	 749
	 	 45	 	 280	 	 515	 	 750
	 	 46	 	 281	 	 516	 	 751
	 	 47	 	 282	 	 517	 	 752
	 	 48	 	 283	 	 518	 	 753
	 	 49	 	 284	 	 519	 	 754
	 Materials ID: 
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
ELEMENT_3: 
	 Elements ID: 
	 	 50	 	 285	 	 520	 	 755
	 	 51	 	 286	 	 521	 	 756
	 	 52	 	 287	 	 522	 	 757
	 	 53	 	 288	 	 523	 	 758
	 	 54	 	 289	 	 524	 	 759
	 	 55	 	 290	 	 525	 	 760
	 	 56	 	 291	 	 526	 	 761
	 	 57	 	 292	 	 527	 	 762
	 	 58	 	 293	 	 528	 	 763
	 	 59	 	 294	 	 529	 	 764
	 	 60	 	 295	 	 530	 	 765
	 	 61	 	 296	 	 531	 	 766
	 	 62	 	 297	 	 532	 	 767
	 	 63	 	 298	 	 533	 	 768
	 	 64	 	 299	 	 534	 	 769
	 	 65	 	 300	 	 535	 	 770
	 	 66	 	 301	 	 536	 	 771
	 	 67	 	 302	 	 537	 	 772
	 	 68	 	 303	 	 538	 	 773
	 	 69	 	 304	 	 539	 	 774
	 	 70	 	 305	 	 540	 	 775
	 	 71	 	 306	 	 541	 	 776
	 	 72	 	 307	 	 542	 	 777
	 	 73	 	 308	 	 543	 	 778
	 	 74	 	 309	 	 544	 	 779
	 	 75	 	 310	 	 545	 	 780
	 	 76	 	 311	 	 546	 	 781
	 Materials ID: 
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
ELEMENT_4: 
	 Elements ID: 
	 	 77	 	 312	 	 547	 	 782
	 	 78	 	 313	 	 548	 	 783
	 	 79	 	 314	 	 549	 	 784
	 	 80	 	 315	 	 550	 	 785
	 	 81	 	 316	 	 551	 	 786
	 	 82	 	 317	 	 552	 	 787
	 	 83	 	 318	 	 553	 	 788
	 	 84	 	 319	 	 554	 	 789
	 	 85	 	 320	 	 555	 	 790
	 	 86	 	 321	 	 556	 	 791
	 	 87	 	 322	 	 557	 	 792
	 	 88	 	 323	 	 558	 	 793
	 Materials ID: 
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
ELEMENT_5: 
	 Elements ID: 
	 	 89	 	 324	 	 559	 	 794
	 	 90	 	 325	 	 560	 	 795
	 	 91	 	 326	 	 561	 	 796
	 	 92	 	 327	 	 562	 	 797
	 	 93	 	 328	 	 563	 	 798
	 	 94	 	 329	 	 564	 	 799
	 	 95	 	 330	 	 565	 	 800
	 	 96	 	 331	 	 566	 	 801
	 	 97	 	 332	 	 567	 	 802
	 	 98	 	 333	 	 568	 	 803
	 	 99	 	 334	 	 569	 	 804
	 Materials ID: 
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
ELEMENT_6: 
	 Elements ID: 
	 	 100	 	 335	 	 570	 	 805
	 	 101	 	 336	 	 571	 	 806
	 	 102	 	 337	 	 572	 	 807
	 	 103	 	 338	 	 573	 	 808
	 	 104	 	 339	 	 574	 	 809
	 	 105	 	 340	 	 575	 	 810
	 	 106	 	 341	 	 576	 	 811
	 	 107	 	 342	 	 577	 	 812
	 	 108	 	 343	 	 578	 	 813
	 	 109	 	 344	 	 579	 	 814
	 	 110	 	 345	 	 580	 	 815
	 Materials ID: 
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
ELEMENT_7: 
	 Elements ID: 
	 	 111	 	 346	 	 581	 	 816
	 	 112	 	 347	 	 582	 	 817
	 	 113	 	 348	 	 583	 	 818
	 	 114	 	 349	 	 584	 	 819
	 	 115	 	 350	 	 585	 	 820
	 	 116	 	 351	 	 586	 	 821
	 	 117	 	 352	 	 587	 	 822
	 	 118	 	 353	 	 588	 	 823
	 	 119	 	 354	 	 589	 	 824
	 	 120	 	 355	 	 590	 	 825
	 	 121	 	 356	 	 591	 	 826
	 	 122	 	 357	 	 592	 	 827
	 	 123	 	 358	 	 593	 	 828
	 Materials ID: 
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
ELEMENT_8: 
	 Elements ID: 
	 	 124	 	 359	 	 594	 	 829
	 	 125	 	 360	 	 595	 	 830
	 	 126	 	 361	 	 596	 	 831
	 	 127	 	 362	 	 597	 	 832
	 	 128	 	 363	 	 598	 	 833
	 	 129	 	 364	 	 599	 	 834
	 	 130	 	 365	 	 600	 	 835
	 	 131	 	 366	 	 601	 	 836
	 	 132	 	 367	 	 602	 	 837
	 	 133	 	 368	 	 603	 	 838
	 	 134	 	 369	 	 604	 	 839
	 	 135	 	 370	 	 605	 	 840
	 	 136	 	 371	 	 606	 	 841
	 	 137	 	 372	 	 607	 	 842
	 	 138	 	 373	 	 608	 	 843
	 	 139	 	 374	 	 609	 	 844
	 	 140	 	 375	 	 610	 	 845
	 	 141	 	 376	 	 611	 	 846
	 	 142	 	 377	 	 612	 	 847
	 	 143	 	 378	 	 613	 	 848
	 	 144	 	 379	 	 614	 	 849
	 	 145	 	 380	 	 615	 	 850
	 	 146	 	 381	 	 616	 	 851
	 	 147	 	 382	 	 617	 	 852
	 	 148	 	 383	 	 618	 	 853
	 	 149	 	 384	 	 619	 	 854
	 	 150	 	 385	 	 620	 	 855
	 Materials ID: 
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
