MATERIALS: 
	 1     BALSA                          
	 2     BIAXIAL                        
	 3     PAINT                          
	 4     REINFORCEMENT                  
	 5     TRIAXIAL                       
	 6     UNIDIRECTIONAL                 
ELEMENT_1: 
	 Elements ID: 
	 	 1	 	 243	 	 485	 	 727
	 	 2	 	 244	 	 486	 	 728
	 	 3	 	 245	 	 487	 	 729
	 	 4	 	 246	 	 488	 	 730
	 	 5	 	 247	 	 489	 	 731
	 	 6	 	 248	 	 490	 	 732
	 	 7	 	 249	 	 491	 	 733
	 	 8	 	 250	 	 492	 	 734
	 	 9	 	 251	 	 493	 	 735
	 	 10	 	 252	 	 494	 	 736
	 Materials ID: 
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
ELEMENT_2: 
	 Elements ID: 
	 	 11	 	 253	 	 495	 	 737
	 	 12	 	 254	 	 496	 	 738
	 	 13	 	 255	 	 497	 	 739
	 	 14	 	 256	 	 498	 	 740
	 	 15	 	 257	 	 499	 	 741
	 	 16	 	 258	 	 500	 	 742
	 	 17	 	 259	 	 501	 	 743
	 	 18	 	 260	 	 502	 	 744
	 	 19	 	 261	 	 503	 	 745
	 	 20	 	 262	 	 504	 	 746
	 	 21	 	 263	 	 505	 	 747
	 	 22	 	 264	 	 506	 	 748
	 	 23	 	 265	 	 507	 	 749
	 	 24	 	 266	 	 508	 	 750
	 	 25	 	 267	 	 509	 	 751
	 	 26	 	 268	 	 510	 	 752
	 	 27	 	 269	 	 511	 	 753
	 	 28	 	 270	 	 512	 	 754
	 	 29	 	 271	 	 513	 	 755
	 	 30	 	 272	 	 514	 	 756
	 	 31	 	 273	 	 515	 	 757
