MATERIALS: 
	 1     BALSA                          
	 2     BIAXIAL                        
	 3     PAINT                          
	 4     REINFORCEMENT                  
	 5     TRIAXIAL                       
	 6     UNIDIRECTIONAL                 
ELEMENT_1: 
	 Elements ID: 
	 	 1	 	 288	 	 575	 	 862
	 	 2	 	 289	 	 576	 	 863
	 	 3	 	 290	 	 577	 	 864
	 	 4	 	 291	 	 578	 	 865
	 	 5	 	 292	 	 579	 	 866
	 	 6	 	 293	 	 580	 	 867
	 	 7	 	 294	 	 581	 	 868
	 	 8	 	 295	 	 582	 	 869
	 	 9	 	 296	 	 583	 	 870
	 	 10	 	 297	 	 584	 	 871
	 	 11	 	 298	 	 585	 	 872
	 	 12	 	 299	 	 586	 	 873
	 	 13	 	 300	 	 587	 	 874
	 	 14	 	 301	 	 588	 	 875
	 Materials ID: 
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
ELEMENT_2: 
	 Elements ID: 
	 	 15	 	 302	 	 589	 	 876
	 	 16	 	 303	 	 590	 	 877
	 	 17	 	 304	 	 591	 	 878
	 	 18	 	 305	 	 592	 	 879
	 	 19	 	 306	 	 593	 	 880
	 	 20	 	 307	 	 594	 	 881
	 	 21	 	 308	 	 595	 	 882
	 	 22	 	 309	 	 596	 	 883
	 	 23	 	 310	 	 597	 	 884
	 	 24	 	 311	 	 598	 	 885
	 	 25	 	 312	 	 599	 	 886
	 	 26	 	 313	 	 600	 	 887
	 	 27	 	 314	 	 601	 	 888
	 	 28	 	 315	 	 602	 	 889
	 	 29	 	 316	 	 603	 	 890
	 	 30	 	 317	 	 604	 	 891
	 	 31	 	 318	 	 605	 	 892
	 	 32	 	 319	 	 606	 	 893
	 	 33	 	 320	 	 607	 	 894
	 	 34	 	 321	 	 608	 	 895
	 	 35	 	 322	 	 609	 	 896
	 	 36	 	 323	 	 610	 	 897
	 	 37	 	 324	 	 611	 	 898
	 	 38	 	 325	 	 612	 	 899
	 	 39	 	 326	 	 613	 	 900
	 	 40	 	 327	 	 614	 	 901
	 	 41	 	 328	 	 615	 	 902
	 	 42	 	 329	 	 616	 	 903
	 	 43	 	 330	 	 617	 	 904
	 	 44	 	 331	 	 618	 	 905
	 	 45	 	 332	 	 619	 	 906
	 	 46	 	 333	 	 620	 	 907
	 	 47	 	 334	 	 621	 	 908
	 Materials ID: 
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
ELEMENT_3: 
	 Elements ID: 
	 	 48	 	 335	 	 622	 	 909
	 	 49	 	 336	 	 623	 	 910
	 	 50	 	 337	 	 624	 	 911
	 	 51	 	 338	 	 625	 	 912
	 	 52	 	 339	 	 626	 	 913
	 	 53	 	 340	 	 627	 	 914
	 	 54	 	 341	 	 628	 	 915
	 	 55	 	 342	 	 629	 	 916
	 	 56	 	 343	 	 630	 	 917
	 	 57	 	 344	 	 631	 	 918
	 	 58	 	 345	 	 632	 	 919
	 	 59	 	 346	 	 633	 	 920
	 	 60	 	 347	 	 634	 	 921
	 	 61	 	 348	 	 635	 	 922
	 	 62	 	 349	 	 636	 	 923
	 	 63	 	 350	 	 637	 	 924
	 	 64	 	 351	 	 638	 	 925
	 Materials ID: 
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
ELEMENT_4: 
	 Elements ID: 
	 	 65	 	 352	 	 639	 	 926
	 	 66	 	 353	 	 640	 	 927
	 	 67	 	 354	 	 641	 	 928
	 	 68	 	 355	 	 642	 	 929
	 	 69	 	 356	 	 643	 	 930
	 	 70	 	 357	 	 644	 	 931
	 	 71	 	 358	 	 645	 	 932
	 	 72	 	 359	 	 646	 	 933
	 	 73	 	 360	 	 647	 	 934
	 	 74	 	 361	 	 648	 	 935
	 	 75	 	 362	 	 649	 	 936
	 	 76	 	 363	 	 650	 	 937
	 	 77	 	 364	 	 651	 	 938
	 Materials ID: 
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
ELEMENT_5: 
	 Elements ID: 
	 	 78	 	 365	 	 652	 	 939
	 	 79	 	 366	 	 653	 	 940
	 	 80	 	 367	 	 654	 	 941
	 	 81	 	 368	 	 655	 	 942
	 	 82	 	 369	 	 656	 	 943
	 	 83	 	 370	 	 657	 	 944
	 	 84	 	 371	 	 658	 	 945
	 	 85	 	 372	 	 659	 	 946
	 	 86	 	 373	 	 660	 	 947
	 	 87	 	 374	 	 661	 	 948
	 	 88	 	 375	 	 662	 	 949
	 	 89	 	 376	 	 663	 	 950
	 	 90	 	 377	 	 664	 	 951
	 	 91	 	 378	 	 665	 	 952
	 	 92	 	 379	 	 666	 	 953
	 	 93	 	 380	 	 667	 	 954
	 	 94	 	 381	 	 668	 	 955
	 	 95	 	 382	 	 669	 	 956
	 	 96	 	 383	 	 670	 	 957
	 	 97	 	 384	 	 671	 	 958
	 	 98	 	 385	 	 672	 	 959
	 	 99	 	 386	 	 673	 	 960
	 Materials ID: 
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
ELEMENT_6: 
