MATERIALS: 
	 1     BALSA                          
	 2     BIAXIAL                        
	 3     PAINT                          
	 4     REINFORCEMENT                  
	 5     TRIAXIAL                       
	 6     UNIDIRECTIONAL                 
ELEMENT_1: 
	 Elements ID: 
	 	 1	 	 279	 	 557	 	 835
	 	 2	 	 280	 	 558	 	 836
	 	 3	 	 281	 	 559	 	 837
	 	 4	 	 282	 	 560	 	 838
	 	 5	 	 283	 	 561	 	 839
	 	 6	 	 284	 	 562	 	 840
	 	 7	 	 285	 	 563	 	 841
	 	 8	 	 286	 	 564	 	 842
	 	 9	 	 287	 	 565	 	 843
	 	 10	 	 288	 	 566	 	 844
	 	 11	 	 289	 	 567	 	 845
	 	 12	 	 290	 	 568	 	 846
	 Materials ID: 
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
ELEMENT_2: 
	 Elements ID: 
	 	 13	 	 291	 	 569	 	 847
	 	 14	 	 292	 	 570	 	 848
	 	 15	 	 293	 	 571	 	 849
	 	 16	 	 294	 	 572	 	 850
	 	 17	 	 295	 	 573	 	 851
	 	 18	 	 296	 	 574	 	 852
	 	 19	 	 297	 	 575	 	 853
	 	 20	 	 298	 	 576	 	 854
	 	 21	 	 299	 	 577	 	 855
	 	 22	 	 300	 	 578	 	 856
	 	 23	 	 301	 	 579	 	 857
	 	 24	 	 302	 	 580	 	 858
	 	 25	 	 303	 	 581	 	 859
	 	 26	 	 304	 	 582	 	 860
	 	 27	 	 305	 	 583	 	 861
	 	 28	 	 306	 	 584	 	 862
	 	 29	 	 307	 	 585	 	 863
	 	 30	 	 308	 	 586	 	 864
	 	 31	 	 309	 	 587	 	 865
	 	 32	 	 310	 	 588	 	 866
	 	 33	 	 311	 	 589	 	 867
	 	 34	 	 312	 	 590	 	 868
	 	 35	 	 313	 	 591	 	 869
	 	 36	 	 314	 	 592	 	 870
	 	 37	 	 315	 	 593	 	 871
	 	 38	 	 316	 	 594	 	 872
	 	 39	 	 317	 	 595	 	 873
	 	 40	 	 318	 	 596	 	 874
	 	 41	 	 319	 	 597	 	 875
	 	 42	 	 320	 	 598	 	 876
	 	 43	 	 321	 	 599	 	 877
	 	 44	 	 322	 	 600	 	 878
	 	 45	 	 323	 	 601	 	 879
	 	 46	 	 324	 	 602	 	 880
	 	 47	 	 325	 	 603	 	 881
	 	 48	 	 326	 	 604	 	 882
	 	 49	 	 327	 	 605	 	 883
	 	 50	 	 328	 	 606	 	 884
	 	 51	 	 329	 	 607	 	 885
	 Materials ID: 
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
