MATERIALS: 
	 1     BALSA                          
	 2     BIAXIAL                        
	 3     PAINT                          
	 4     REINFORCEMENT                  
	 5     TRIAXIAL                       
	 6     UNIDIRECTIONAL                 
ELEMENT_1: 
	 Elements ID: 
	 	 1	 	 245	 	 489	 	 733
	 	 2	 	 246	 	 490	 	 734
	 	 3	 	 247	 	 491	 	 735
	 	 4	 	 248	 	 492	 	 736
	 	 5	 	 249	 	 493	 	 737
	 	 6	 	 250	 	 494	 	 738
	 	 7	 	 251	 	 495	 	 739
	 	 8	 	 252	 	 496	 	 740
	 	 9	 	 253	 	 497	 	 741
	 	 10	 	 254	 	 498	 	 742
	 Materials ID: 
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
ELEMENT_2: 
	 Elements ID: 
	 	 11	 	 255	 	 499	 	 743
	 	 12	 	 256	 	 500	 	 744
	 	 13	 	 257	 	 501	 	 745
	 	 14	 	 258	 	 502	 	 746
	 	 15	 	 259	 	 503	 	 747
	 	 16	 	 260	 	 504	 	 748
	 	 17	 	 261	 	 505	 	 749
	 	 18	 	 262	 	 506	 	 750
	 	 19	 	 263	 	 507	 	 751
	 	 20	 	 264	 	 508	 	 752
	 	 21	 	 265	 	 509	 	 753
	 	 22	 	 266	 	 510	 	 754
	 	 23	 	 267	 	 511	 	 755
	 	 24	 	 268	 	 512	 	 756
	 	 25	 	 269	 	 513	 	 757
	 	 26	 	 270	 	 514	 	 758
	 	 27	 	 271	 	 515	 	 759
	 	 28	 	 272	 	 516	 	 760
	 	 29	 	 273	 	 517	 	 761
	 	 30	 	 274	 	 518	 	 762
	 	 31	 	 275	 	 519	 	 763
	 	 32	 	 276	 	 520	 	 764
	 	 33	 	 277	 	 521	 	 765
	 	 34	 	 278	 	 522	 	 766
	 	 35	 	 279	 	 523	 	 767
	 	 36	 	 280	 	 524	 	 768
	 	 37	 	 281	 	 525	 	 769
	 	 38	 	 282	 	 526	 	 770
	 	 39	 	 283	 	 527	 	 771
	 	 40	 	 284	 	 528	 	 772
	 	 41	 	 285	 	 529	 	 773
	 	 42	 	 286	 	 530	 	 774
	 	 43	 	 287	 	 531	 	 775
	 	 44	 	 288	 	 532	 	 776
	 	 45	 	 289	 	 533	 	 777
	 	 46	 	 290	 	 534	 	 778
	 	 47	 	 291	 	 535	 	 779
	 	 48	 	 292	 	 536	 	 780
	 	 49	 	 293	 	 537	 	 781
	 	 50	 	 294	 	 538	 	 782
	 	 51	 	 295	 	 539	 	 783
	 	 52	 	 296	 	 540	 	 784
	 	 53	 	 297	 	 541	 	 785
	 Materials ID: 
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
ELEMENT_3: 
	 Elements ID: 
	 	 54	 	 298	 	 542	 	 786
	 	 55	 	 299	 	 543	 	 787
	 	 56	 	 300	 	 544	 	 788
	 	 57	 	 301	 	 545	 	 789
	 	 58	 	 302	 	 546	 	 790
	 	 59	 	 303	 	 547	 	 791
	 	 60	 	 304	 	 548	 	 792
	 	 61	 	 305	 	 549	 	 793
	 	 62	 	 306	 	 550	 	 794
	 	 63	 	 307	 	 551	 	 795
	 	 64	 	 308	 	 552	 	 796
	 	 65	 	 309	 	 553	 	 797
	 	 66	 	 310	 	 554	 	 798
	 	 67	 	 311	 	 555	 	 799
	 	 68	 	 312	 	 556	 	 800
	 	 69	 	 313	 	 557	 	 801
	 	 70	 	 314	 	 558	 	 802
	 	 71	 	 315	 	 559	 	 803
	 	 72	 	 316	 	 560	 	 804
	 	 73	 	 317	 	 561	 	 805
	 Materials ID: 
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
ELEMENT_4: 
	 Elements ID: 
	 	 74	 	 318	 	 562	 	 806
	 	 75	 	 319	 	 563	 	 807
	 	 76	 	 320	 	 564	 	 808
	 	 77	 	 321	 	 565	 	 809
	 	 78	 	 322	 	 566	 	 810
	 	 79	 	 323	 	 567	 	 811
	 	 80	 	 324	 	 568	 	 812
	 	 81	 	 325	 	 569	 	 813
	 	 82	 	 326	 	 570	 	 814
	 	 83	 	 327	 	 571	 	 815
	 	 84	 	 328	 	 572	 	 816
	 	 85	 	 329	 	 573	 	 817
	 	 86	 	 330	 	 574	 	 818
	 	 87	 	 331	 	 575	 	 819
	 Materials ID: 
