%--------------------------------% 
%   BLADE STIFFNESS DEFINITION   % 
%--------------------------------% 

% Radial Position [-]    Stiffness about Chord Line [Nm2]     Stiffness perpendicular to Chord Line [Nm2]   Torsional rigidity [Nm2]    Neutral axis [%chord] 



0.0000     4.648781e+09    4.648088e+09    2.107104e+09    50.000000        
0.0111     3.651365e+09    3.739453e+09    1.660940e+09    49.960037        
0.0222     2.652151e+09    2.829181e+09    1.213973e+09    49.920002        
0.0333     1.656531e+09    1.922184e+09    7.686136e+08    49.357932        
0.0444     1.549936e+09    1.897237e+09    7.083027e+08    49.460758        
0.0556     1.549584e+09    1.977502e+09    6.940414e+08    48.985772        
0.0667     1.549232e+09    2.057695e+09    6.797930e+08    48.021755        
0.0778     1.547319e+09    2.095235e+09    6.415663e+08    47.345107        
0.0889     1.544999e+09    2.121667e+09    5.970950e+08    46.906912        
0.1000     1.542679e+09    2.148100e+09    5.526238e+08    46.622167        
0.1111     1.538148e+09    2.238619e+09    5.188552e+08    46.115283        
0.1222     1.532621e+09    2.357982e+09    4.899036e+08    45.608943        
0.1333     1.527094e+09    2.477345e+09    4.609519e+08    45.238365        
0.1444     1.480646e+09    2.461751e+09    4.170173e+08    44.810928        
0.1556     1.405204e+09    2.350659e+09    3.624426e+08    44.417371        
0.1667     1.329829e+09    2.239667e+09    3.079169e+08    44.232418        
0.1778     1.256497e+09    2.158054e+09    2.649291e+08    44.214268        
0.1889     1.185351e+09    2.107886e+09    2.342910e+08    44.374936        
0.1950     1.146224e+09    2.080295e+09    2.174414e+08    44.589335        
0.2000     1.114205e+09    2.057718e+09    2.036529e+08    44.775732        
0.2111     1.047456e+09    2.021718e+09    1.813568e+08    45.123781        
0.2222     9.879052e+08    2.008911e+09    1.727147e+08    45.182724        
0.2333     9.283543e+08    1.996104e+09    1.640727e+08    45.284152        
0.2444     8.694046e+08    1.971996e+09    1.550963e+08    45.361143        
0.2556     8.119844e+08    1.918120e+09    1.452315e+08    45.304112        
0.2667     7.546158e+08    1.864292e+09    1.353756e+08    45.267579        
0.2778     6.988558e+08    1.808444e+09    1.257355e+08    45.249715        
0.2889     6.508046e+08    1.742915e+09    1.171297e+08    45.245262        
0.3000     6.027534e+08    1.677385e+09    1.085239e+08    45.248296        
0.3111     5.553634e+08    1.611823e+09    1.000273e+08    45.250495        
0.3222     5.169119e+08    1.545829e+09    9.300829e+07    45.243699        
0.3333     4.784603e+08    1.479835e+09    8.598924e+07    45.240682        
0.3444     4.400087e+08    1.413841e+09    7.897020e+07    45.237542        
0.3556     4.081725e+08    1.348664e+09    7.351814e+07    45.249989        
0.3667     3.766049e+08    1.283577e+09    6.812775e+07    45.263789        
