MATERIALS: 
	 1     BALSA                          
	 2     BIAXIAL                        
	 3     PAINT                          
	 4     REINFORCEMENT                  
	 5     TRIAXIAL                       
	 6     UNIDIRECTIONAL                 
ELEMENT_1: 
	 Elements ID: 
	 	 1	 	 242	 	 483	 	 724
	 	 2	 	 243	 	 484	 	 725
	 	 3	 	 244	 	 485	 	 726
	 	 4	 	 245	 	 486	 	 727
	 	 5	 	 246	 	 487	 	 728
	 	 6	 	 247	 	 488	 	 729
	 	 7	 	 248	 	 489	 	 730
	 	 8	 	 249	 	 490	 	 731
	 	 9	 	 250	 	 491	 	 732
	 	 10	 	 251	 	 492	 	 733
	 Materials ID: 
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
	 	 3	 	 5	 	 4	 	 5
ELEMENT_2: 
	 Elements ID: 
	 	 11	 	 252	 	 493	 	 734
	 	 12	 	 253	 	 494	 	 735
	 	 13	 	 254	 	 495	 	 736
	 	 14	 	 255	 	 496	 	 737
	 	 15	 	 256	 	 497	 	 738
	 	 16	 	 257	 	 498	 	 739
	 	 17	 	 258	 	 499	 	 740
	 	 18	 	 259	 	 500	 	 741
	 	 19	 	 260	 	 501	 	 742
	 	 20	 	 261	 	 502	 	 743
	 	 21	 	 262	 	 503	 	 744
	 	 22	 	 263	 	 504	 	 745
	 	 23	 	 264	 	 505	 	 746
	 	 24	 	 265	 	 506	 	 747
	 	 25	 	 266	 	 507	 	 748
	 	 26	 	 267	 	 508	 	 749
	 	 27	 	 268	 	 509	 	 750
	 	 28	 	 269	 	 510	 	 751
	 	 29	 	 270	 	 511	 	 752
	 	 30	 	 271	 	 512	 	 753
	 	 31	 	 272	 	 513	 	 754
	 	 32	 	 273	 	 514	 	 755
	 	 33	 	 274	 	 515	 	 756
	 	 34	 	 275	 	 516	 	 757
	 	 35	 	 276	 	 517	 	 758
	 	 36	 	 277	 	 518	 	 759
	 	 37	 	 278	 	 519	 	 760
	 	 38	 	 279	 	 520	 	 761
	 	 39	 	 280	 	 521	 	 762
	 	 40	 	 281	 	 522	 	 763
	 	 41	 	 282	 	 523	 	 764
	 	 42	 	 283	 	 524	 	 765
	 	 43	 	 284	 	 525	 	 766
	 	 44	 	 285	 	 526	 	 767
	 	 45	 	 286	 	 527	 	 768
	 	 46	 	 287	 	 528	 	 769
	 	 47	 	 288	 	 529	 	 770
	 	 48	 	 289	 	 530	 	 771
	 	 49	 	 290	 	 531	 	 772
	 	 50	 	 291	 	 532	 	 773
	 Materials ID: 
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
ELEMENT_3: 
	 Elements ID: 
	 	 51	 	 292	 	 533	 	 774
	 	 52	 	 293	 	 534	 	 775
	 	 53	 	 294	 	 535	 	 776
	 	 54	 	 295	 	 536	 	 777
	 	 55	 	 296	 	 537	 	 778
	 	 56	 	 297	 	 538	 	 779
	 	 57	 	 298	 	 539	 	 780
	 	 58	 	 299	 	 540	 	 781
	 	 59	 	 300	 	 541	 	 782
	 	 60	 	 301	 	 542	 	 783
	 	 61	 	 302	 	 543	 	 784
	 	 62	 	 303	 	 544	 	 785
	 	 63	 	 304	 	 545	 	 786
	 	 64	 	 305	 	 546	 	 787
	 	 65	 	 306	 	 547	 	 788
	 	 66	 	 307	 	 548	 	 789
	 	 67	 	 308	 	 549	 	 790
	 	 68	 	 309	 	 550	 	 791
	 	 69	 	 310	 	 551	 	 792
	 	 70	 	 311	 	 552	 	 793
	 	 71	 	 312	 	 553	 	 794
	 	 72	 	 313	 	 554	 	 795
	 	 73	 	 314	 	 555	 	 796
	 	 74	 	 315	 	 556	 	 797
	 	 75	 	 316	 	 557	 	 798
	 Materials ID: 
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
	 	 3	 	 5	 	 6	 	 5
ELEMENT_4: 
	 Elements ID: 
	 	 76	 	 317	 	 558	 	 799
	 	 77	 	 318	 	 559	 	 800
	 	 78	 	 319	 	 560	 	 801
	 	 79	 	 320	 	 561	 	 802
	 	 80	 	 321	 	 562	 	 803
	 	 81	 	 322	 	 563	 	 804
	 	 82	 	 323	 	 564	 	 805
	 	 83	 	 324	 	 565	 	 806
	 	 84	 	 325	 	 566	 	 807
	 	 85	 	 326	 	 567	 	 808
	 	 86	 	 327	 	 568	 	 809
	 	 87	 	 328	 	 569	 	 810
	 	 88	 	 329	 	 570	 	 811
	 	 89	 	 330	 	 571	 	 812
	 Materials ID: 
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
	 	 3	 	 5	 	 1	 	 5
